class,1kHz_cond,2kHz_cond,3kHz_cond,7kHz_cond,11kHz_cond,17kHz_cond,23kHz_cond,31kHz_cond,43kHz_cond,61kHz_cond,89kHz_cond,127kHz_cond,179kHz_cond,251kHz_cond,349kHz_cond
skin,2837.729667,3178.261671,3353.863313,3542.9651,3641.664748,3751.305565,3827.177671,3947.735584,4102.935286,4261.381272,4396.840821,4501.669596,4575.825,4617.575282,4640.287484
skin,2990.785883,3198.07699,3317.037157,3340.820721,3357.094385,3379.180666,3394.772113,3403.246465,3412.147211,3419.131776,3415.853685,3409.691814,3396.81813,3373.544186,3349.121203
skin,4766.144774,4929.638571,5113.133989,5031.253584,5036.455001,5073.929724,5107.901685,5131.954993,5153.500161,5170.390031,5154.606971,5115.938466,5051.963571,4955.294705,4846.418361
skin,6722.065524,7131.048526,7446.811559,7297.734139,7252.571684,7238.774172,7240.087888,7223.976222,7209.781954,7192.458333,7134.814432,7066.129779,6981.611241,6862.195942,6727.347467
skin,6229.078044,6678.130384,7037.780091,6954.94402,6938.882071,6946.148952,6956.822911,6948.452538,6938.669724,6922.958333,6871.58795,6810.461474,6734.605473,6631.664451,6519.684258
skin,8347.391926,8788.0092,9286.767616,8974.72719,8872.176316,8830.055485,8827.664561,8797.07442,8762.215188,8730.880135,8620.842747,8479.344548,8289.202138,8019.650468,7704.884307
skin,5104.773018,5592.544342,5985.476919,6144.256264,6230.369296,6347.436844,6420.477826,6475.080204,6523.883775,6555.708333,6536.421568,6490.116049,6416.640079,6305.563918,6182.019704
skin,6580.56691,6971.156919,7303.904739,7213.380132,7217.996207,7258.739401,7294.52975,7309.388564,7326.423263,7336.666667,7303.765557,7255.453778,7183.832372,7080.557112,6953.508801
skin,6908.146265,7279.380345,7796.201362,7739.790619,7836.165779,7999.556282,8129.302684,8220.351371,8311.048687,8387.403387,8367.668299,8305.453596,8166.969093,7943.287286,7662.940188
skin,5527.009189,6064.051878,6446.287498,6494.33979,6557.279929,6647.229965,6711.34357,6755.925646,6800.473417,6837.333333,6827.814046,6800.360271,6743.164805,6646.909379,6531.638057
skin,7249.543631,7446.630745,7910.34584,7544.264722,7464.329653,7463.897481,7481.140021,7457.887827,7438.060028,7412.208333,7337.762094,7246.578449,7131.979384,6983.578875,6814.716118
skin,7115.498039,7377.864102,7830.771434,7526.523714,7441.883298,7420.803912,7413.014446,7385.855822,7350.500235,7306.958333,7213.795831,7106.33845,6979.457602,6815.692507,6634.599607
skin,7481.33395,7709.37714,8140.215745,7707.744362,7573.95651,7504.307079,7480.76484,7433.713908,7403.225259,7367.083333,7285.46663,7191.610254,7080.568168,6932.527583,6769.1555
skin,4153.977082,4116.826027,4194.962545,3844.613423,3781.465043,3732.985647,3705.853715,3672.934036,3632.641457,3588.471375,3521.357361,3450.952702,3369.934576,3274.90897,3169.496038
skin,6618.865651,7031.493374,7365.4108,7227.135241,7180.676113,7152.934178,7134.695424,7093.234573,7040.021564,6976.666667,6860.958426,6736.075432,6584.292551,6397.994299,6198.588577
skin,5830.966989,6372.670029,6698.424146,6610.522481,6581.546357,6567.753669,6555.000505,6522.598604,6472.459144,6410.5,6294.588685,6157.266709,5992.980734,5786.40367,5578.168679
skin,3917.866666,4146.945069,4333.378716,4217.412938,4180.995352,4154.392246,4137.628935,4105.372714,4060.953213,4010.228947,3919.789126,3835.175331,3773.848276,3693.740864,3602.222791
skin,6764.417185,7145.681526,7489.023078,7362.639062,7347.127078,7356.747346,7365.591474,7350.830345,7324.689405,7283.666667,7186.123189,7070.886171,6927.107621,6743.118965,6535.980766
skin,2578.236294,2649.43233,2741.364146,2653.088909,2631.148361,2627.760003,2622.821972,2612.549167,2595.115474,2572.466833,2535.354327,2490.806078,2444.254302,2388.770764,2328.486269
skin,7700.56819,8031.984778,8453.665124,8022.02257,7820.93426,7667.941008,7578.61204,7447.414607,7376.586906,7299.416667,7175.224563,7045.535094,6896.404467,6713.589924,6516.241867
skin,7086.882787,7386.435262,7800.944207,7462.181326,7394.823162,7355.488593,7337.988686,7300.858653,7257.9359,7208.916667,7115.259696,7009.984745,6880.942447,6716.728586,6530.57886
skin,1940.621722,1941.347912,1947.280589,1932.366919,1926.779939,1920.706299,1915.167093,1906.948212,1895.224316,1877.467783,1845.666217,1803.808118,1752.59162,1691.861964,1616.316734
skin,6620.144089,7102.994894,7425.3006,7263.634263,7183.688497,7121.080721,7080.144459,7014.842423,6933.310529,6838.333333,6687.432569,6522.282986,6328.285679,6094.825212,5849.658703
skin,7856.265865,8320.696682,8800.841404,8422.319679,8265.654542,8141.310587,8077.827853,7973.093751,7855.229241,7716.000102,7472.141312,7337.195064,7199.294392,7023.869041,6828.258713
skin,6468.009959,7261.956079,7946.075275,7917.200699,7852.599787,7805.205357,7759.524309,7672.24647,7553.379986,7431.291667,7317.534603,7187.197107,7041.140017,6853.932935,6643.315288
skin,2155.412707,2165.885283,2212.548715,2081.827623,2026.285152,1986.190384,1982.447353,1977.307061,1968.923317,1957.28263,1936.982724,1909.839639,1876.672638,1836.578376,1788.568508
skin,3706.132245,4076.629058,4351.377292,4390.350922,4400.854108,4418.414303,4430.211666,4432.011252,4430.478882,4434.066577,4410.083405,4384.862406,4348.504505,4289.617525,4230.670267
skin,5313.478519,5793.214498,6191.00649,6214.599254,6227.99286,6261.177265,6288.791797,6300.367994,6307.269832,6309.583333,6262.20676,6201.447212,6113.750153,5990.480728,5854.652062
skin,4998.449424,5524.217144,5902.959471,6085.813044,6165.770389,6258.030381,6322.504293,6373.098698,6419.064221,6467.166667,6474.797239,6464.078483,6432.267763,6365.903086,6284.080936
skin,5425.986483,5875.711914,6226.270356,6286.253776,6326.430883,6385.758894,6428.696838,6457.907152,6483.68981,6506.708333,6488.969938,6455.595434,6402.282489,6313.634762,6215.989677
